                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.40604,                0.31845,                0.93983,                0.98301,                0.91452,                0.95104,                0.84809,                0.48274,                0.31661,                0.95621,              0.0001061,              0.0001061,              0.0001061
                     88,                0.40942,                0.32702,                0.93135,                0.96789,                0.89873,                 0.9429,                0.84783,                0.47236,                 0.3307,                0.94464,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.39743,                0.32122,                0.93275,                0.96199,                0.91926,                0.94346,                0.84575,                 0.4884,                0.32792,                0.95861,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.39959,                0.32494,                 0.9289,                0.97552,                0.90311,                0.94598,                0.84342,                0.48885,                0.33656,                0.96528,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 0.3359,                0.23637,                0.85963,                 0.9781,                0.89097,                0.94799,                0.83984,                 0.4807,                0.32616,                0.95638,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.31863,                0.22236,                0.85932,                0.96373,                0.90696,                0.94761,                0.84785,                0.47123,                0.33945,                0.93865,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.31468,                0.21574,                0.85734,                0.97149,                0.90784,                0.94623,                0.84668,                0.45845,                 0.3419,                0.92885,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.30561,                0.21112,                0.85486,                0.97104,                0.89621,                0.94672,                0.84346,                0.45911,                0.33794,                0.93216,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.30131,                0.20519,                0.84049,                0.95974,                0.90812,                0.94705,                0.84419,                0.46008,                0.33566,                0.93363,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.30385,                0.20503,                 0.8556,                0.96956,                0.90477,                0.94717,                0.84634,                0.45874,                0.33455,                0.93207,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.30378,                0.20879,                0.84887,                0.96278,                0.90596,                0.94922,                  0.848,                0.44916,                0.31748,                0.92393,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.29622,                0.20431,                0.85272,                0.96033,                0.90493,                0.94722,                 0.8506,                0.44693,                0.31666,                0.91965,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.29333,                0.19621,                0.85112,                0.96564,                0.90315,                0.94563,                0.84963,                0.44712,                0.31426,                0.92243,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.29474,                0.20387,                 0.8513,                0.94926,                0.92154,                0.94747,                0.85164,                0.44475,                0.31252,                0.92224,             1.4209e-05,             1.4209e-05,             1.4209e-05
